CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,2650,2972,894,,161,47,661,4170,2195,55,1636,357,834,838,85,5345,1203,1767,716,1291,79,75,,2807,8176,,8808,67,25,3213,,76,5869,967,12387,1265,24,,,2851,40017,22926,,306,,2376,479,1251,39871,160,192,,211,210,25,975,35251,11908,4165,35796,,694,221,7160,1508,549,2765,,330,627,4708,4557,,1314,850,17087,225,14,8290,21229,,8794,4940,1089,83,65971,1823,11813,5057,2179,2933,2991,21324,2712,2632,908,2218,,1031,361,5553,455,3399,,2468,198,,969,,181,43,64,1705,,124,71,,122,,231815,62,,129,32,87,3383,73,1383,38,,953,1219,43,649,17954,73,8597,,153,33,11813,62,,2870,,386,15016,58792,14237,3988,85,,1328,4515,10778,101,,779,,204,,,615,566,,26,2018,433,,80,,3816,2980,1958,1377,2893,202,,1207,658,2105,168,6930,756,,673,,421,7305,390,2771,99,,,541,10992,328,12095,464,67,924,1377,,6557,39584,1080,290,,,,8711,,,,,,,,,89,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,6,6,2,,6,2,2,2,2,6,2,2,2,2,6,2,2,6,2,2,6,6,,2,5,,2,6,6,2,,6,5,2,2,5,6,,,2,2,2,,3,,2,2,5,2,6,2,,2,10,6,2,6,6,2,5,,3,7,6,2,2,2,,2,2,2,6,,2,2,5,2,6,2,6,,6,6,2,9,2,2,2,6,2,2,2,2,2,2,2,2,,2,6,5,6,2,,6,2,,2,,2,6,6,2,,6,7,,2,,5,6,,3,9,6,2,6,2,6,,2,2,6,2,2,7,2,,2,6,2,0,,2,,2,2,2,2,5,6,,6,2,2,6,,2,,9,,,2,2,,6,6,2,,6,,5,2,2,2,6,2,,2,2,2,2,6,5,,3,,2,2,2,2,4,,,2,6,6,2,2,6,2,6,,2,6,2,2,,,,2,,,,,,,,,6,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1080,1429,567,,80,20,253,1883,912,29,748,159,348,279,49,2847,441,730,322,413,54,30,,1142,3860,,3027,25,11,1503,,42,2404,434,5521,502,7,,,1166,17308,7884,,142,,881,281,612,17868,102,72,,123,96,9,402,14137,5013,2460,15240,,250,74,3367,697,148,1244,,224,243,1666,2396,,726,316,7622,134,9,3487,9571,,3140,2321,379,31,32955,647,5802,2641,1150,1680,1595,8298,875,1513,323,1080,,573,128,2486,172,1764,,1069,111,,356,,79,21,26,720,,94,33,,106,,104315,46,,23,19,40,2096,40,682,19,,558,608,17,345,7139,50,4339,,74,16,6502,34,,776,,142,5895,21530,5826,1936,41,,556,1972,3890,51,,306,,106,,,375,366,,10,913,157,,22,,1865,1440,847,706,2003,92,,420,323,1107,68,2278,366,,417,,206,2777,285,1518,30,,,258,4507,182,6027,232,35,419,619,,2545,15306,736,149,,,,3383,,,,,,,,,52,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1569,1543,327,,81,27,407,2285,1282,26,888,197,486,559,36,2497,762,1036,394,877,25,45,,1664,4315,,5781,42,14,1710,,34,3461,533,6863,761,17,,,1684,22705,15036,,164,,1494,198,639,21979,58,120,,88,114,16,573,21094,6888,1705,20549,,443,147,3788,811,401,1521,,106,383,3036,2161,,587,533,9461,91,5,4799,11646,,5652,2618,710,52,33004,1175,6005,2415,1029,1253,1394,13015,1837,1117,585,1137,,458,233,3056,283,1633,,1399,87,,613,,102,22,38,984,,30,38,,16,,127456,16,,106,13,47,1287,32,701,19,,395,610,26,304,10814,23,4256,,79,17,5306,28,,2092,,244,9119,37246,8399,2048,44,,772,2543,6887,50,,472,,97,,,240,200,,16,1104,276,,58,,1951,1540,1109,671,890,110,,787,334,998,100,4647,390,,256,,215,4523,105,1253,69,,,283,6484,146,6062,231,32,505,757,,4012,24261,344,141,,,,5327,,,,,,,,,37,
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,2013,2786,578,,105,,,,1495,,,292,606,,56,4746,,1401,248,,61,,,,8175,,,,20,2621,37,95,4197,611,,1223,,,,,33134,,,287,,,382,1073,,109,122,,164,170,,,,,3231,,,553,132,5165,,359,1979,,246,514,3617,3181,,1200,,,191,,,,,,3871,788,62,46871,1213,10557,2967,1335,2363,2217,,1934,2125,725,1396,,755,331,3787,327,2779,,1815,136,,819,,158,,46,1217,,93,66,,72,55,,,,53,,,2684,45,1058,22,,638,819,,,,52,6582,,105,,9147,,,,,,,38830,9320,2506,60,,1068,3986,7660,91,,,,,,,504,386,,,1485,315,,60,,3594,2069,1175,1024,2785,,,786,501,1799,109,4438,597,,473,,,,299,2009,58,,,344,8594,253,7752,356,,,1148,,,27921,734,212,312,,,7486,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,6,6,2,,6,,,,6,,,2,6,,6,2,,6,2,,6,,,,5,,,,6,2,6,6,5,2,,5,,,,,2,,,6,,,2,5,,3,2,,2,10,,,,,2,,,3,6,7,,2,2,,2,6,2,2,,2,,,2,,,,,,6,2,6,2,2,6,6,2,2,2,,2,2,6,2,,2,2,5,6,2,,2,2,,2,,2,,2,2,,5,6,,5,6,,,,3,,,2,6,6,6,,2,2,,,,5,2,,2,,2,,,,,,,2,6,5,2,,6,2,6,6,,,,,,,2,2,,,6,2,,5,,6,2,2,2,6,,,2,2,2,2,6,5,,3,,,,2,2,5,,,2,6,2,2,2,,,6,,,6,5,2,2,,,2,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,799,1295,359,,52,,,,612,,,148,250,,29,2573,,569,109,,40,,,,3909,,,,11,1205,23,51,1714,313,,514,,,,,13757,,,141,,,230,519,,66,33,,81,83,,,,,1896,,,207,51,2421,,116,913,,181,197,1280,1663,,660,,,129,,,,,,1787,281,21,23443,441,4789,1358,717,1282,1206,,686,1136,272,679,,402,107,1728,117,1375,,749,70,,278,,79,,22,543,,75,32,,62,25,,,,7,,,1668,18,496,8,,392,420,,,,37,3307,,54,,4782,,,,,,,14328,3953,1273,32,,463,1771,2604,42,,,,,,,245,273,,,656,121,,30,,1618,1030,491,526,2043,,,300,253,837,54,1570,297,,285,,,,223,1087,17,,,167,3475,127,3807,173,,,498,,,10469,509,101,154,,,3060,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1214,1490,219,,53,,,,882,,,144,356,,27,2172,,832,139,,21,,,,4261,,,,9,1416,14,44,2477,298,,705,,,,,19371,,,146,,,152,554,,43,89,,83,86,,,,,1333,,,346,81,2742,,243,1064,,65,317,2333,1516,,540,,,62,,,,,,2083,507,41,23415,771,5766,1607,618,1077,1006,,1247,986,453,717,,352,224,2053,210,1401,,1066,65,,541,,77,,24,674,,18,33,,10,30,,,,46,,,1015,27,562,14,,246,398,,,,15,3274,,51,,4360,,,,,,,24485,5365,1226,28,,605,2213,5054,49,,,,,,,259,113,,,829,194,,30,,1976,1038,684,498,741,,,486,247,960,55,2866,300,,188,,,,76,921,41,,,177,5117,126,3935,183,,,650,,,17433,221,111,158,,,4425,,,,,,,,,,
