"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Madison, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","498.0","226.0","272.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","73.0","36.0","37.0","-"
"25 to 34 years","138.0","50.0","88.0","-"
"35 to 44 years","138.0","62.0","76.0","-"
"45 to 54 years","81.0","44.0","37.0","-"
"55 to 64 years","37.0","20.0","17.0","-"
"65 years and over","31.0","14.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","114.0","54.0","60.0","-"
"Married","334.0","157.0","177.0","-"
"Other","50.0","15.0","35.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","79.0","41.0","38.0","-"
"Service occupations","18.0","7.0","11.0","-"
"Sales and office occupations","12.0","6.0","6.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","19.0","14.0","5.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","57.0","27.0","30.0","-"
"Homemakers","D","-","D","-"
"Students or children","49.0","D","D","-"
"Retirees","3.0","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","310.0","128.0","182.0","-"
"","","","",""
"Leading countries of birth","","","",""
"China","48.0","20.0","28.0","-"
"Germany","13.0","6.0","7.0","-"
"India","52.0","27.0","25.0","-"
"Jamaica","6.0","D","D","-"
"Korea","6.0","D","D","-"
"Laos","26.0","15.0","11.0","-"
"Macedonia","7.0","4.0","3.0","-"
"Mexico","32.0","17.0","15.0","-"
"Morocco","9.0","6.0","3.0","-"
"Nepal","6.0","D","D","-"
"Nigeria","6.0","D","D","-"
"Pakistan","7.0","D","D","-"
"Philippines","18.0","D","D","-"
"Poland","7.0","-","7.0","-"
"Russia","10.0","D","D","-"
"Serbia and Montenegro","15.0","5.0","10.0","-"
"Soviet Union (former)","8.0","D","D","-"
"Taiwan","8.0","D","D","-"
"Thailand","19.0","5.0","14.0","-"
"United Kingdom","10.0","6.0","4.0","-"
"Other","183.0","89.0","94.0","-"
"Unknown","2.0","2.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
