CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,347,430,2895,432,74064,2586,3670,437,,18153,3671,1715,488,12882,1264,121,823,870,795,333,4820,10034,5457,3348,252,1268,65,647,2472,445,14956,593,37726,2982,96,4307,787,1999,6077,1165,451,154,1648,17500,1234,224,8014,6248,155,1891,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,3,2,1,2,2,2,2,,2,2,3,1,2,2,1,1,0,2,2,2,2,2,1,2,2,2,1,3,2,1,0,3,2,0,2,2,2,1,1,2,1,2,2,1,2,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,734,777,6500,823,145594,6007,5957,982,,43795,6880,2050,864,29432,2455,1314,2093,1307,1458,548,12295,16263,14615,7713,557,3999,285,1537,4622,958,30291,1449,66234,5084,267,8590,1765,3612,10205,2185,1748,257,2613,35417,3110,419,13478,12668,237,3570,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,425,440,3598,435,80430,3336,3322,510,,24726,3458,1105,456,15791,1257,681,1116,629,747,327,6907,8868,7761,4274,304,2143,178,748,2569,514,16201,815,35212,2377,130,4525,923,2038,5389,1247,966,128,1284,19122,1749,235,7234,7221,123,1880,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,309,337,2902,388,65164,2671,2635,472,,19069,3422,945,408,13641,1198,633,977,678,711,221,5388,7395,6854,3439,253,1856,107,789,2053,444,14090,634,31022,2707,137,4065,842,1574,4816,938,782,129,1329,16295,1361,184,6244,5447,114,1690,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,3,2,1,2,3,2,2,,2,2,0,3,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,3,2,2,2,3,2,0,2,2,3,2,1,2,1,1,2,1,2,2,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1182,745,7218,715,135599,4833,4284,707,,35105,11068,2287,56,23401,2725,1123,1897,1543,1702,427,13836,11461,5191,6226,445,3255,81,789,4095,1027,22968,993,63888,3577,146,2764,1573,4300,9443,1620,1020,177,2011,28638,1682,426,9583,11787,261,2775,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,636,445,4075,385,74675,2585,2433,355,,19363,5731,1332,36,12202,1441,566,993,789,883,244,7671,6272,2723,3533,246,1708,48,366,2334,530,12450,575,35530,1652,83,1532,845,2411,5057,946,532,89,1021,15314,939,244,5099,6606,151,1447,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,546,300,3143,330,60924,2248,1851,352,,15742,5337,955,20,11199,1284,557,904,754,819,183,6165,5189,2468,2693,199,1547,33,423,1761,497,10518,418,28358,1925,63,1232,728,1889,4386,674,488,88,990,13324,743,182,4484,5181,110,1328,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,3,2,1,2,2,2,2,,3,2,3,2,1,2,1,2,2,3,1,2,2,2,1,2,1,3,1,3,2,2,2,3,0,2,2,2,2,2,1,2,1,1,2,1,2,2,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
