 Alabama,year: 2003,number of immigrants: 1182.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 546.0,number female: 636.0
 Alabama,year: 2004,number of immigrants: 734.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 309.0,number female: 425.0
 Alabama,year: 2005,number of immigrants: 795.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 347.0,number female: 448.0
 Alabama,year: 2006,number of immigrants: 1946.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: India,number male: 795.0,number female: 1151.0
 Alabama,year: 2007,number of immigrants: 1343.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 602.0,number female: 741.0
 Alabama,year: 2008,number of immigrants: 1982.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 869.0,number female: 1113.0
 Alabama,year: 2009,number of immigrants: 1775.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: India,number male: 824.0,number female: 951.0
 Alabama,year: 2010,number of immigrants: 2027.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: India,number male: 905.0,number female: 1122.0
 Alaska,year: 2003,number of immigrants: 745.0,Occupation: Service,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 300.0,number female: 445.0
 Alaska,year: 2004,number of immigrants: 777.0,Occupation: Service,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 337.0,number female: 440.0
 Alaska,year: 2005,number of immigrants: 951.0,Occupation: Service,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 430.0,number female: 521.0
 Alaska,year: 2006,number of immigrants: 831.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Philippines,number male: 322.0,number female: 509.0
 Alaska,year: 2007,number of immigrants: 849.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Philippines,number male: 340.0,number female: 509.0
 Alaska,year: 2008,number of immigrants: 1145.0,Occupation: Service occupations,Leading states of permanent residence: ?,Leading countries of birth: Philippines,number male: 488.0,number female: 657.0
 Alaska,year: 2009,number of immigrants: 1100.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Philippines,number male: 460.0,number female: 640.0
 Alaska,year: 2010,number of immigrants: 831.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Philippines,number male: 347.0,number female: 484.0
 Arizona,year: 2003,number of immigrants: 7218.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 3143.0,number female: 4075.0
 Arizona,year: 2004,number of immigrants: 6500.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 2902.0,number female: 3598.0
 Arizona,year: 2005,number of immigrants: 6785.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 2895.0,number female: 3890.0
 Arizona,year: 2006,number of immigrants: 9707.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 4405.0,number female: 5302.0
 Arizona,year: 2007,number of immigrants: 12091.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 5530.0,number female: 6561.0
 Arizona,year: 2008,number of immigrants: 24055.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 10584.0,number female: 13471.0
 Arizona,year: 2009,number of immigrants: 12377.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 5875.0,number female: 6502.0
 Arizona,year: 2010,number of immigrants: 10340.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 4827.0,number female: 5513.0
 Arkansas,year: 2003,number of immigrants: 715.0,"Occupation: Operators, fabricators, laborers",Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 330.0,number female: 385.0
 Arkansas,year: 2004,number of immigrants: 823.0,"Occupation: Operators, fabricators, laborers",Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 388.0,number female: 435.0
 Arkansas,year: 2005,number of immigrants: 990.0,"Occupation: Operators, fabricators, laborers",Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 432.0,number female: 558.0
 Arkansas,year: 2006,number of immigrants: 1133.0,"Occupation: Production, transportation, and material moving occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 527.0,number female: 606.0
 Arkansas,year: 2007,number of immigrants: 1214.0,"Occupation: Production, transportation, and material moving occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 568.0,number female: 646.0
 Arkansas,year: 2008,number of immigrants: 2330.0,"Occupation: Production, transportation, and material moving occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 1086.0,number female: 1244.0
 Arkansas,year: 2009,number of immigrants: 1648.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 821.0,number female: 827.0
 Arkansas,year: 2010,number of immigrants: 1275.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 586.0,number female: 689.0
 California,year: 2003,number of immigrants: 135599.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 60924.0,number female: 74675.0
 California,year: 2004,number of immigrants: 145594.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 65164.0,number female: 80430.0
 California,year: 2005,number of immigrants: 170489.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 74064.0,number female: 96425.0
 California,year: 2006,number of immigrants: 152836.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 68331.0,number female: 84505.0
 California,year: 2007,number of immigrants: 181684.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 80098.0,number female: 101586.0
 California,year: 2008,number of immigrants: 297909.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 128193.0,number female: 169714.0
 California,year: 2009,number of immigrants: 179754.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 83430.0,number female: 96324.0
 California,year: 2010,number of immigrants: 129354.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 59705.0,number female: 69647.0
 Colorado,year: 2003,number of immigrants: 4833.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 2248.0,number female: 2585.0
 Colorado,year: 2004,number of immigrants: 6007.0,Occupation: Service,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 2671.0,number female: 3336.0
 Colorado,year: 2005,number of immigrants: 5681.0,Occupation: Professional and technical,Leading states of permanent residence: ?,Leading countries of birth: ?,number male: 2586.0,number female: 3095.0
 Colorado,year: 2006,number of immigrants: 5526.0,"Occupation: Management, professional, and related occupations",Leading states of permanent residence: ?,Leading countries of birth: Mexico,number male: 2585.0,number female: 2941.0
